AirportCode,AirportName,Country
 SEZ , Sedona , United States 
 KFCY , Forrest City Municipal Airport , United States 
 9OA1 , Ripley Airport , United States 
NSM,Silver Springs Regional, Colombia 
 61S , Cottage Grove State , United States 
 W13 , Eagle's Nest , United States 
NTG,Oak Springs Regional, United States 
KJV,River Harbor Airport, United States 
 NC26 , Long Island Airport , United States 
 MRI , Merrill Field , United States 
 W00 , Freeway Airport , United States 
OSB,Silver Field Municipal, United States 
TUS,Sky Point Municipal, United States 
DPY,Redwood Creek International, United States 
 73MU , Sky-Go Farms Airport , United States 
 RMN , Stafford Regional Airport , United States 
CDZ,Sunset Heights International, Australia 
WWN,Clearwater Point International, United States 
GRD,River Bluff International, United States 
 CPR , Natrona County International , United States 
 MIE , Delaware County Airport , United States 
 7Y3 , Backus Airport , United States 
 O6C , Schaumburg Regional , United States 
DFZ,Silver Valley Airport, United States 
 IND , Indianapolis International , United States 
VLB,Silver Springs Airport, United States 
 44B , Charles Chase Jr. Memorial , United States 
GUT,River Springs Airport, United States 
 GXY , Greeley-Weld County , United States 
 AAO , Colonel James Jabara , United States 
 18AZ , Sky Ranch at Carefree , United States 
 PRC , Ernest A. Love Field Airport , United States 
 KIGM , Kingman Airport , United States 
 O28 , Willits , United States 
 TYR , TYLER POUNDS FIELD , United States 
XAI,Redwood Bluff Municipal, United States 
 TPA , Tampa International Airport , United States 
 75WA , Port Elsner Airport , United States 
RBH,Clearwater Bluff Regional, Iraq 
 TPA , TAMPA INTL , United States 
 EMT , El Monte Airport , United States 
 KTIX , Space Coast Regional Airport , United States 
 AUG , Augusta State Airport , United States 
 F70 , French Valley Airport , United States 
FGP,Green Creek Municipal, United States 
 RIU , Rancho Murieta , United States 
 SBGR , Sao Paulo Guarulhos Airport , Brazil 
EBN,Sunset Bay Regional, Dominican Republic 
FBV,Oak Heights Municipal, United States 
QVD,Redwood Valley International, United States 
 KRIU , Rancho Murieta , United States 
 RHV , REID-HILLVIEW OF SANTA CLARA C , United States 
ZXG,Lake Bluff Regional, United States 
UTD,Redwood Hill Municipal, United States 
 AWO , Arlington Municipal Airport , United States 
IUF,Sky Bluff Regional, United States 
 SAC , SACRAMENTO EXECUTIVE , United States 
 SAC , SACRAMENTO EXECUTIVE , United States 
 FPR , St. Lucie County International , United States 
 KSRQ , Sarasota/Bradenton Int'l , United States 
GKP,Redwood Heights International, United States 
 ASE , ASPEN-PITKIN CO/SARDY FIELD , United States 
 O27 , Oakdale Airport , United States 
ZLK,Oak Springs Municipal, United States 
PHJ,Silver Bluff Regional, United States 
JXZ,Green Bluff Airfield, United States 
XZD,Silver Creek Airfield, United States 
 PHL , PHILADELPHIA INTL , United States 
QBN,Clearwater Field Airport, United States 
CSC,Sky Harbor International, United States 
 TRM , THERMAL , United States 
PJX,Sky Creek Municipal, United States 
IGO,Green Hill Airfield, United States 
 3TE3 , Big Bend Ranch State Park Apt , United States 
OGL,River Bay Airfield, Australia 
 CAK , Akron-Canton , United States 
NOQ,Clearwater Hill Regional, United States 
 NONE , Black Canyon , United States 
MWS,Clearwater Bay Regional, United States 
 IFP , Laughlin/Bullhead Internationa , United States 
 CRE , Grand Strand , United States 
 AID , Anderson Municipal Airport , United States 
DDQ,Redwood Hill Regional, United States 
YBL,Green Springs Airport, Australia 
 KBHM , Birmingham International , United States 
YSW,Lake Heights Municipal, United States 
 KBUY , Burlington-Alamance Regional , United States 
 KGYR , Phoenix Goodyear , United States 
 2NC0 , Mountain Air , United States 
 IST ," Istanbul, Turkey ", Turkey 
 2V8 , Melon Field , United States 
YPG,Lake Creek Municipal, United States 
 S43 , Harvey Field , United States 
WUV,Mountain Field Airport, United Kingdom 
 PWK , PALWAUKEE MUNI , United States 
XHX,Mountain Springs Municipal, United States 
 NONE , Private Airstrip , United States 
 SWW , Avenger Field Airport , United States 
 MA63 , Sherman Airport , United States 
 3AZ2 , U of A Maricopa AG Center , United States 
SHB,Clearwater Springs Municipal, United States 
 MBT , MURFREESBORO MUNI , United States 
 3M0 , Gastons Airport , United States 
 OGG , Kahului , United States 
IUK,Sky Field Airfield, United States 
 IZA , Santa Ynez , United States 
QVP,Mountain Valley Municipal, United States 
 PTK , OAKLAND-PONTIAC , United States 
IZS,Sky Point Regional, United States 
RQZ,Redwood Creek Municipal, United States 
AVW,Sunset Valley International, United States 
YDY,River Hill International, Spain 
 KPIL , Port Isabel - Cameron County , United States 
 F45 , NORTH PALM BEACH GENERAL AVIAT , United States 
 PAKT , Ketchikan International , United States 
WNS,Sky Hill International, United States 
 K1K2 , Lindsay Municipal Airport , United States 
 FMN , Four Corners Regional , United States 
HXD,Sky Heights Airfield, United States 
LTI,Green Point International, United States 
 LNA , Palm Beach County Park , United States 
 MPI , Mariposa-Yosemite , United States 
 JXN , JACKSON COUNTY-REYNOLDS FIELD , United States 
 KCRQ , McClellan-Palomar Airport , United States 
OWL,Redwood Creek International, United States 
 80D , Claire County Airport , United States 
OMZ,Lake Hill Municipal, United States 
 HVN , Tweed-New Haven Airport , United States 
JGZ,Redwood Creek Airport, United Kingdom 
OIU,River Creek International, Australia 
OYA,Silver Bluff Municipal, Canada 
 BED , Bedford , United States 
ROK,Oak Point International, United States 
 2J2 , Liberty County Airport , United States 
HJU,Clearwater Springs International, United States 
 0W3 , Harford County Airport , United States 
PYH,Silver Bay Regional, United States 
CWA,Lake Hill International, United States 
HOL,Lake Field Regional, Brazil 
HWE,Sky Valley Airfield, Australia 
YWJ,River Heights Airport, Norway 
 DEN , DENVER INTL , United States 
 KFTW , Ft Worth International Airport , United States 
ZIZ,Silver Bay Airfield, United States 
JOT,Mountain Bay International, United States 
 DTS , Destin-Fort Walton Beach , United States 
DEU,Lake Hill Airport, United States 
PZF,Oak Harbor Airfield, Indonesia 
RRJ,Sky Creek Airport, South Africa 
 BIH , Eastern Sierra Regional Airpor , United States 
 BJC , JEFFCO , United States 
 KELP , El Paso International Airport , United States 
ZAX,Clearwater Point Airport, France 
GRO,Mountain Heights Airfield, Costa Rica 
 PANC , Anchorage International , United States 
AED,Green Field Regional, Namibia 
XVB,Silver Valley International, United States 
QXC,Mountain Heights Regional, United States 
MNP,Sky Creek Regional, United States 
 PIR , PIERRE REGIONAL , United States 
 1U9 , PINE , United States 
 NONE , Bouse , United States 
 VIS , Visalia Municipal , United States 
TEO,Mountain Bluff Municipal, United States 
BBX,Silver Hill Airport, United States 
PRM,Sky Field Regional, United States 
 LEK , Blue Grass Airport , United States 
XSG,Sky Bluff International, United States 
BRZ,Mountain Springs International, United States 
HLM,Sky Point Municipal, United States 
 NONE , Tokenna Air Park , United States 
 KCMA , Camarillo Airport , United States 
TIO,Mountain Bluff Airport, United States 
 KOGG , Kahului , United States 
 OZW , Livingston County Spencer J. H , United States 
TZH,River Point International, Costa Rica 
 SET , St. Charles Co Smartt , United States 
 L18 , Fallbrook Community Airpark , United States 
 WJF , GENERAL WM J FOX AIRFIELD , United States 
 MMH , Mammoth Yosemite , United States 
AGP,Clearwater Springs International, United States 
 PAO , PALO ALTO ARPT OF SANTA CLARA , United States 
 VNY , VAN NUYS , United States 
 NONE , pilot's private airstrip , United States 
 ULS , ULYSSES , United States 
 48V , TRI-COUNTY , United States 
 BVS , SKAGIT REGIONAL/BAY VIEW , United States 
COP,Lake Bay Airport, United States 
 ARV , LAKELAND/NOBLE F. LEE MEMORIAL , United States 
 KLS , Kelso-Longview , United States 
 ANJ , Sault Ste Marie/Sanderson , United States 
ERH,Sunset Creek Regional, Venezuela 
TOO,Lake Bluff Airport, United States 
 RIU , RANCHO MURIETA , United States 
PGH,Clearwater Harbor Municipal, United States 
 OTG , Worthington Municipal , United States 
NUV,River Bay Municipal, Argentina 
 AUO , Auburn Opelika Airport , United States 
 LWM , Lawrence Municipal Airport , United States 
VAY,Clearwater Valley Airport, Australia 
TZG,Redwood Creek International, Ukraine 
 52NM , Timberon Airport , United States 
WAY,Silver Field Regional, United States 
 SBP , San Luis County Regional , United States 
IDI,Redwood Field International, United States 
DNH,River Field Airfield, United States 
 16J , Dawson Municipal Airport , United States 
VFL,River Hill Regional, United States 
 FFC , PEACHTREE CITY-FALCON FIELD , United States 
EXE,Sunset Hill Airport, United States 
 TUL , Tulsa International , United States 
TZT, NA , United States 
 2CA4 , Blackington Airpark , United States 
 HOB , LEA COUNTY/HOBBS/ , United States 
 T85 , Yoakum Municipal Airport , United States 
KKY,Mountain Springs Regional, United States 
 61B , Boulder City Municipal , United States 
LAF,Mountain Bay International, United States 
 L71 , California City Muni , United States 
BWV,Mountain Springs Regional, United States 
 X07 , Lake Wales Municipal , United States 
 24A , JACKSON COUNTY , United States 
 T82 , Gillespie County Airport , United States 
 5A5 , Silver Wings Field , United States 
 MLE , MILLARD , United States 
 TRK , Truckee-Tahoe , United States 
 LIH , LIHUE , United States 
ZQT,Redwood Bay Regional, United States 
DLX,Green Point Municipal, United States 
 2OR7 , Sweet Home , United States 
 WJF , General Wm. J. Fox Airfield , United States 
WRY,River Hill Airfield, United States 
JGH,Sky Point Airfield, United States 
 KILM , WILMINGTON INTERNATIONAL , United States 
 0E0 , Moriarty Airport , United States 
 SEA , Seattle-Tacoma Intern Arpt , United States 
 T67 , HICKS AIRFIELD , United States 
YBE,Sky Springs Airfield, United States 
PQD,Clearwater Hill Airfield, United States 
CXM,Mountain Springs International, Ecuador 
RUE,Clearwater Valley Airport, Turks And Caicos Islands 
NVP,Clearwater Bluff Airport, United States 
 TS63 , Square Air Airport , United States 
 1T8 , Bulverde Airpark , United States 
DWH,Clearwater Bluff Municipal, United States 
TSU,Mountain Field Airport, United States 
LZD,Sky Harbor Airfield, United States 
 PDX , Portland International , United States 
AVS,Sunset Springs Airport, United States 
DSW,Redwood Bay Municipal, Colombia 
 28J , Kay Larkin Airport , United States 
JZU,Green Harbor Regional, United States 
 X07 , Lake Wales Municipal , United States 
 E98 , Mid Valley Airport , United States 
UFD,Redwood Hill Airfield, United States 
MIU,Oak Heights International, United States 
EMW,Clearwater Harbor International, Australia 
 LVK , Livermore Muni , United States 
 POC , Brackett , United States 
 POC , Brackett , United States 
PHR,Silver Bay Regional, United States 
PCK,Oak Springs Municipal, United States 
RRB,Green Valley Municipal, United States 
GYE,Sky Creek Municipal, United States 
HPC,Oak Bluff Regional, United States 
VSM,Clearwater Springs Airport, United Kingdom 
 IJD , WINDHAM , United States 
ROH,Sky Heights Regional, United States 
 00V , Meadowlake Airport , United States 
YOK,Lake Creek Regional, United States 
 BOS , Logan International Airport , United States 
JFS,Sunset Heights Airfield, United States 
HXI,Sky Heights Airport, United States 
OFK,Sky Creek Airfield, Canada 
 KTS , Brevig Mission , United States 
 NONE , Dixie Valley , United States 
 KLAX , Los Angeles Intl , United States 
 X44 , Miami Seaplane Base , United States 
 LDJ , Linden , United States 
HIZ,Sunset Valley International, United States 
 KOPF , Opa-Locka Airport , United States 
 KELM , El Monte Airport , United States 
 1G8 , Eddie Dew Memorial Airpark , United States 
 KSUA , Witham Field , United States 
 X46 , Opa-Locka West Airport , United States 
RPY,Lake Point Airport, Costa Rica 
 KBTM , Bert Mooney , United States 
 66R , Rober R. Wells Jr. Airport , United States 
YIC,Oak Hill Airfield, United States 
 IAH , Houston Intercontinental , United States 
 IAH , Houston Intercontinental , United States 
 UNV , University Park Airport , United States 
ZRM,River Bay Regional, Brazil 
 MEM , Memphis International , United States 
WGW,Redwood Field Airport, United States 
 DKK , Dunkirk Airport , United States 
 DKK , Dunkirk Airport , United States 
FGB,River Point Municipal, United States 
 KBFM , Mobile Downtown Airport , United States 
 1G5 , Medina Municipal Airport , United States 
OZH,Green Heights Regional, United States 
 KSEE , Gilespie Field Airport , United States 
UZQ, NA , United States 
 KDAB , Daytona Beach International , United States 
PJS,Green Valley Municipal, Guadeloupe 
KDU,Green Springs Airfield, United States 
 AJO , Corona Municipal Airport , United States 
 AJO , Corona Municipal Airport , United States 
 MML , Marshall Muni-Ryan Field , United States 
 KCLS , Chehalis-Centralia , United States 
 S43 , Harvey Field , United States 
 NONE , Love Landing , United States 
 LWC , LAWRENCE MUNI , United States 
 WHP , WHITEMAN , United States 
 PHC , Port Harcourt Airport , Nigeria 
 VIS , VISALIA MUNI , United States 
 PGD , Charlotte County Airport , United States 
 OGB , ORANGEBURG MUNI , United States 
 DWH , DAVID WAYNE HOOKS MEMORIAL , United States 
DRW,Mountain Field International, Netherlands 
 S39 , Prineville Airport , United States 
 RFD , Greater Rockford , United States 
 CAE , Columbia Metropolitan , United States 
 MDW , Midway Airport , United States 
VZB,Clearwater Springs International, United States 
 MEV , Minden-Tahoe Airport , United States 
 PIR , Pierre Regional , United States 
TJL,Redwood Bay Municipal, France 
MVY,Green Harbor Municipal, Argentina 
 KAYS , Waycross-Ware County Airport , United States 
UMF,Clearwater Field Airfield, Australia 
AYM,Green Bay Municipal, United States 
MAD,Silver Field Municipal, United States 
XED,Lake Hill Airport, United States 
AVD,Mountain Creek Regional, United States 
MIB,Oak Point Airfield, Australia 
CXO,Lake Bay Regional, United States 
 ACK , Nantucket Memorial , United States 
 M16 , John Bell Williams Airport , United States 
MPX,Green Harbor Regional, Spain 
 RJFK , Kagoshima Airport , Japan 
WNT,Oak Heights Airport, United States 
 S31 , LOPEZ ISLAND , United States 
CRG,Sunset Field Airport, United States 
 BZN , GALLATIN FIELD , United States 
ONT,Green Harbor Airport, United States 
 ORD , O'Hare International , United States 
 DEN , Denver International Airport , United States 
 T12 , Kirbyville Airport , United States 
 JAX , JACKSONVILLE INTL , United States 
 MVY , Martha's Vineyard Airport , United States 
LIC,Mountain Springs International, United States 
ZTY,Green Springs Airfield, United States 
 SEE , Gillespie Field , United States 
 N07 , Lincoln Park Airport , United States 
 S5O , Auburn Muni , United States 
 36U , Heber City Municipal Airport , United States 
CLO,Sunset Bay International, United States 
 1M9 , Lake Barkley State Park Apt. , United States 
KYA,Green Valley Airfield, United States 
 P14 , HOLBROOK MUNICIPAL AIRPORT , United States 
QPI,Lake Hill Airfield, United States 
VVI,Sky Hill Municipal, United States 
 TEX , Telluride Regional Airport , United States 
 RVS , RICHARD LLOYD JONES JR , United States 
 BAZ , New Braunfels Municipal , United States 
ZNL,Sunset Heights Airport, United States 
 BTV , Burlington Int'l Airport , United States 
 S31 , Lopez Island Airport , United States 
 T00 , Chambers County Airport , United States 
 HIO , Portland-Hillsboro Airport , United States 
PSQ, NA , United States 
UKH,Green Creek International, Colombia 
 I69 , Clermont County Airport , United States 
 57AZ , La Cholla Airpark , United States 
 VI2 , Motorsports Complex VIP Helipo , United States 
 VI2 , Motorsports Complex VIP Helipo , United States 
VAA,Mountain Valley Municipal, United States 
 UNV , University Park Airport , United States 
 SOW , Show Low Regional Airport , United States 
CCI,Sunset Field International, United States 
 57AZ , La Cholla Airpark , United States 
FHH,Clearwater Valley International, Russia 
MEM,Mountain Heights Regional, United States 
ABL,Silver Heights Municipal, United States 
HSF,Sunset Point Regional, United States 
 KISM , Kissimmee Gateway Airport , United States 
 PAO , Palo Alto , United States 
LHT,Sky Bluff Airport, Belize 
 BFL , Meadows Field , United States 
 27AZ , Eagle Roost Airpark , United States 
XIZ,River Bluff Municipal, United States 
 KSLC , Salt Lake City International , United States 
 GLR , Gaylord Regional , United States 
 FFM , Fergus Falls Municipal - Einar , United States 
UEO,River Bluff Airport, United States 
 RKS , ROCK SPRINGS-SWEETWATER COUNTY , United States 
JLU,Oak Point Regional, United States 
RZJ,Sunset Bluff Regional, United States 
RAS,Sunset Springs International, Colombia 
 T67 , Hicks Field , United States 
QXF,Green Bluff Airfield, United States 
 GKT , GATLINBURG-PIGEON FORGE , United States 
 IGM , KINGMAN , United States 
 RNM , Ramona , United States 
GWD,Mountain Valley Regional, United States 
KJW,Mountain Springs Airfield, United States 
 KSPG , Albert Whitted Airport , United States 
 BJC , JEFFCO , United States 
 BAZ , New Braunfels Municipal , United States 
 DYB , Summerville Airport , United States 
WOZ,River Heights Regional, United States 
VBC,Oak Springs Regional, United States 
NLN,Mountain Bay Municipal, United States 
 GKY , Arlington Municipal Airport , United States 
 JYO , Leesburg Executive Airport , United States 
 STS , SONOMA COUNTY , United States 
 BMI , Central Illinois Regional Airp , United States 
IEH,Oak Field International, Australia 
 FLL , Fort Lauderdale-Hollywood Itl , United States 
SMA,Redwood Springs Airfield, United States 
 FFZ , Falcon Field , United States 
 IKV , Ankeny Regional Airport , United States 
 MY77 , North Memorial Heliport , United States 
 14N , Beltzville Airport , United States 
 MHT , Manchester , United States 
NAI,Oak Bluff Regional, Guyana 
HYC, Taitung , Taiwan 
 FTG , FRONT RANGE , United States 
 KPAN , Payson Airport , United States 
ETJ,Mountain Bluff International, United States 
 KPXE , Perry Houston Co. Airport , United States 
 BUM , Butler Memorial sssssssAirport , United States 
 DWH , David Wayne Hooks , United States 
 KOPF , Opa Locka , United States 
 KSWI , Sherman Municipal Airport , United States 
 LUD , Decatur Municipal Airport , United States 
OYH,Sunset Springs Municipal, United Kingdom 
SSP,Sunset Bluff International, United Kingdom 
WDC,Green Creek Regional, United Kingdom 
BEJ,Oak Hill Regional, United States 
LGD,Redwood Field Airfield, United States 
ZQA,River Bay Regional, United States 
YZF,Clearwater Bay Airport, United States 
OAK,Sky Harbor Airfield, United States 
 KN06 , Laurel Airport , United States 
 KMVC , Monroe County Airport , United States 
 8NC8 , Lake Ridge Aero Park Airport , United States 
 HOU , William P. Hobby , United States 
YAC,Sunset Bluff Municipal, United States 
 RYN , Ryan Field Airport , United States 
ZFI,Oak Point Airport, Venezuela 
 KTOA , Zamperini Field Airport , United States 
GAK,River Heights Municipal, Guyana 
VUE,Green Point Municipal, Canada 
ULQ,Redwood Bluff Regional, Mexico 
GIW,Oak Hill Airport, United States 
MZV,Redwood Hill Airport, United States 
JJE,Clearwater Point International, United States 
 KLBB , Lubbock International Airport , United States 
 FMH , Falmouth , United States 
 KDAB , Daytona Beach International , United States 
JZG,Silver Hill Regional, United States 
 DWU , Ahland-Boyd County Airport , United States 
BDR,Sunset Heights International, United States 
 LZU , GWINNETT COUNTY - BRISCOE FIEL , United States 
ATK,Mountain Field Airfield, United States 
 UNKN , Unknown , United States 
SRP,Oak Point Airport, United States 
XJZ,Mountain Bay International, Canada 
 DYL , Doylestown Airport , United States 
 3DA , DALTON , United States 
 KTIX , Space Coast Regional , United States 
 PHN , ST CLAIR COUNTY INTL , United States 
 L71 , California City Municipal , United States 
 73J , BEAUFORT COUNTY , United States 
 BBP , MARLBORO COUNTY , United States 
 PSF , Pittsfield Municipal Airport , United States 
 KTIX , Space Coast Regional Airport , United States 
 GYL , Glencoe Municipal Airport , United States 
 BTY , Beatty Airport , United States 
LMJ,Lake Bluff Municipal, United States 
 PRC , Ernest A. Love Field Airport , United States 
PCM,Lake Bay Municipal, United States 
 D25 , Manitowish Waters Airport , United States 
 BRD , Brainerd Lakes Regional , United States 
 PVT ,Mountain Heights Municipal, United States 
NRP,Lake Harbor International, United States 
 CVG , Cincinnati / Northern Kentucky , United States 
 KBTR ," Baton Rouge, LA ", United States 
 MCC , Mc Clellan Airfield , United States 
JHY,Silver Valley Regional, United States 
MKN,Sunset Bay Airfield, United States 
KFF,Mountain Heights Regional, Spain 
 HTO , East Hampton , United States 
NOH,Redwood Harbor Airfield, United States 
 T94 , Twin Oaks Airpark , United States 
 5NK , Naknek , United States 
 AE49 ," Helipad, Marble Falls, Texas ", United States 
 KEFD , Ellington Field Airport , United States 
 7TA7 , Flying M Ranch , United States 
ZKJ,Lake Springs Airfield, United States 
XMH, NA , United States 
 CGZ , Casa Grande , United States 
VBU,Clearwater Point Airport, United States 
HZH,Green Bay Municipal, United States 
THC,Green Valley Airport, Australia 
VQP,Redwood Heights Airfield, United Kingdom 
UIU,Lake Valley International, Nigeria 
 SAT , San Antonio International , United States 
 SZT , Sandpoint Airport , United States 
 NY05 , Hogan Airport , United States 
 4N1 , Greenwood Lake Airport , United States 
 VT8 , Shelburne Airport , United States 
OCQ, TTT Ranch Co. , United States 
 S45 , Siletz Bay State , United States 
BBR,Mountain Valley Airport, United States 
NSA,Sky Bluff Municipal, Namibia 
 KVRB , Vero Beach Municipal , United States 
 IKK , Greater Kankakee , United States 
 HOU , WILLIAM P HOBBY , United States 
TXX,Green Heights Airport, United States 
RLN,Sky Creek Municipal, United States 
JXE,Sky Valley Municipal, United States 
 CCB , Cable Airport , United States 
PKY,Mountain Creek Regional, United States 
 X47 , Flagler County Airport , United States 
 MHV , MOJAVE , United States 
LRG,Sky Hill Airfield, United States 
 KSEE , Gillespie Field , United States 
 37TE , Johnnie Volk Field Airport , United States 
YPN,Green Bay Airport, Canada 
 OGS , Ogdensburg International Airpo , United States 
 X14 , La Belle Municipal , United States 
 3M5 , Brownsboro , United States 
JEJ,Silver Bluff Municipal, United States 
WLY,Redwood Point International, Tanzania 
LMF,Silver Field Regional, United States 
 KPGD , Punta Gorda , United States 
 2S6 , Sportsman Airpark , United States 
PKG,Green Harbor Municipal, United States 
EKK, Knutzen Farm , United States 
VNS,Clearwater Bay International, United States 
SCK,Sunset Valley International, United States 
GLN,Sunset Point Regional, United States 
 NONE , Private , United States 
 OKB , Oceanside Municipal , United States 
SNC,Sunset Bluff Regional, United States 
IMN,Mountain Springs Municipal, Belize 
KUE,Green Bay International, United States 
EPA,Silver Valley International, United States 
GOD,River Heights Airfield, United States 
 OGG , Kahului , United States 
 --- , N/A , United States 
 --- , N/A , United States 
IMT,Lake Point International, United States 
 MRN , Morgantown-Lenoir Airport , United States 
 NONE ,River Bluff Regional, United States 
HGK,Silver Creek International, United States 
AUL,Oak Bay Municipal, United States 
 PHX , PHOENIX SKY HARBOR INTL , United States 
 PHX , PHOENIX SKY HARBOR INTL , United States 
 DWH , David Wayne Hooks Memorial , United States 
 2M8 , Charles Baker , United States 
 IXD , New Century Air Center , United States 
MKX,Silver Springs Regional, United States 
 CVN , CLOVIS MUNI , United States 
 RIR , FLABOB , United States 
IRN,Sunset Bay Airfield, United States 
 DEN , Denver International Airport , United States 
 OVE , Oroville Municipal , United States 
UCG,Oak Creek Airfield, United States 
HTW,Sky Field Airfield, United States 
 JXN , JACKSON COUNTY-REYNOLDS FIELD , United States 
FBN,Lake Hill Municipal, United States 
XIL,Clearwater Field International, United States 
PQL,Clearwater Hill Airfield, United States 
BGU,River Bay Airfield, United States 
GNK,Silver Springs Airfield, United States 
MBF,Oak Hill Airfield, United States 
 ABQ , Albuquerque International Sun , United States 
RVW,River Heights International, United States 
 KGEG , Spokane INternational , United States 
XHT,Sunset Bluff International, United States 
 ITH , Ithaca Regional Airport , United States 
EJJ,Green Point Regional, United States 
WEG,Green Harbor International, United States 
 PBX , Pikeville County Airport , United States 
 ABQ , Fiesta Field , United States 
 BFD , BRADFORD REGIONAL , United States 
SHZ,Lake Heights International, United States 
SGJ,Sky Valley Regional, Australia 
BLR,Sky Bay International, United States 
 LFT , Lafayette Regional Airport , United States 
XHP,Redwood Creek Airport, United States 
YMH,Clearwater Valley Airfield, Canada 
MNS,Green Harbor Airport, United States 
 T41 , La Porte Municipal Airport , United States 
 KCRG , Craig Municipal Airport , United States 
 KTUP , Tupelo Regional , United States 
HMK,Clearwater Bluff International, United States 
GGV,Lake Point Airport, United States 
WLK,Silver Springs Airport, United States 
FPR,Redwood Bluff Airport, Sweden 
TOP,Redwood Bay Airport, Morocco 
 PYG , PAGELAND , United States 
 77S , Hobby Field , United States 
 GCN , Grand Canyon National Park , United States 
 TUS , Tucson International , United States 
 IAD , Dulles International Airport , United States 
 KDED , DeLand Municipal , United States 
 KDTS , DESTIN-FORT WALTON BEACH , United States 
 PVD , Theodore Francis Green , United States 
LKE,Oak Creek Regional, United States 
 06NH , Cole Farm , United States 
 KPGD , Charlotte County , United States 
WXA,Silver Bluff International, United States 
 ULS , Ulysses Airport , United States 
NDW,Lake Hill Municipal, South Africa 
 ADS , ADDISON , United States 
MNF,Clearwater Bay Airport, United States 
 21W , Ranger Creek Airport , United States 
 AWO , ARLINGTON MUNI , United States 
 RNO , Reno/Tahoe International , United States 
UNM,Silver Harbor Airfield, United States 
 FFO , Wright-Patterson AFB , United States 
HYH,Silver Heights International, United States 
GBO,Green Creek Airfield, United States 
 2V2 , VANCE BRAND , United States 
 M11 , COPIAH COUNTY , United States 
 IBM , Kimball Muni/Robert E. Arraj , United States 
JSU,Sunset Hill International, Venezuela 
VHF,Redwood Heights Airport, United States 
TCK,Redwood Point Airfield, United States 
KIK,Redwood Springs Regional, United States 
QJI,Green Valley Regional, United States 
GBT,Lake Springs Municipal, United States 
XZD,Redwood Point Regional, United States 
 12ID , Flying B Ranch Landing Strip , United States 
CHJ,Sky Hill Airfield, United States 
 L26 , Hesperia Airport , United States 
JIA,Clearwater Point Regional, Spain 
DOZ,Lake Creek Regional, Japan 
UVZ,River Creek Municipal, United States 
GTJ,Redwood Hill Municipal, Mexico 
 CMH , PORT COLUMBUS INTL , United States 
 TCY , Tracy Municipal Airport , United States 
DEC,Clearwater Point Municipal, United States 
PMJ,River Harbor Regional, United States 
HRF,Silver Heights Airfield, United States 
 KOPF , Opa Locka , United States 
 NONE , Private Airstrip , United States 
 MFR , MEDFORD-JACKSON COUNTY , United States 
FAX,Lake Heights Regional, Australia 
VVB,Sunset Bay Airfield, United States 
JJY,Sky Point Regional, United States 
KPJ,River Point Airport, United States 
TEU,Clearwater Creek International, United States 
QUS,Sky Heights Regional, United States 
 O89 , FALL RIVER MILLS , United States 
USL,Oak Point Airport, United States 
HII,River Field Airfield, United States 
 W00 , Freeway Airport , United States 
 OSU , Ohio State , United States 
 ENW , Kenosha Regional , United States 
 AWN , West Memphis Municipal Airport , United States 
 KRQO , El Reno Regional Airport , United States 
 MUE , WAIMEA-KOHALA , United States 
GUT,Lake Point International, United States 
AXS,Lake Heights Airfield, United States 
 KIYK , Inyokern , United States 
 L05 , Kern Valley , United States 
OQS,River Field Municipal, United States 
FWF,Redwood Harbor Airfield, United States 
 KLAX , Los Angeles International , United States 
ZXN,Clearwater Point International, United States 
 NONE , Flying B , United States 
ACZ,Redwood Creek Airport, Mexico 
 LXY , Mexia-Limestone County Airport , United States 
LII,Lake Creek Municipal, United States 
KBR,Silver Point Airfield, France 
 CDC , CEDAR CITY MUNI , United States 
FUJ,Silver Field Regional, United States 
 1Y3 , Mount Ayr , United States 
 MIV , Millville Municipal Airport , United States 
ADT,Mountain Valley Municipal, United States 
 TOR , Torrington Municipal Airport , United States 
YGK,Mountain Valley International, United States 
 P04 , Bisbee , United States 
 NONE ,Clearwater Hill Regional, United States 
 Y14 , Marv Skie - Lincoln County , United States 
 K0Q9 , Sonoma Skypark , United States 
 CDW , Essex County , United States 
 S07 , Bend Municipal Airport , United States 
 SOW , Show Low , United States 
OKO,Clearwater Bluff Airfield, United States 
 OLM , Olympia Airport , United States 
 0E0 , MORIARTY , United States 
 16G , SENECA COUNTY , United States 
 F29 , Clarence E. Page , United States 
 76V , Thomas memorial Airport , United States 
 FLL , Hollywood Intl Airport , United States 
 3V4 , Fort Morgan Municipal Airport , United States 
 EFD , ELLINGTON FIELD , United States 
 O96 , Petaluma Municipal , United States 
SHW,Green Valley International, United States 
 RNO , Reno/Tahoe Int'l Airport , United States 
XVV,Green Hill Airfield, United States 
 KPRN , Mac Crenshaw Memorial Airport , United States 
MHD,Clearwater Field Airfield, United States 
WJQ,Mountain Point Regional, United Kingdom 
ZRS,Sunset Bluff International, Brazil 
 72FL , Gator Airpark Stolport , United States 
 48V , Erie Municipal Airport , United States 
OGK,Mountain Field International, Venezuela 
QJB,Sunset Creek Airfield, United States 
JAT,Green Heights Airfield, United States 
JVG,Green Field Regional, United States 
TRK,Sky Point Regional, United States 
RNE,Oak Bluff Regional, United States 
 PTV , Porterville , United States 
 3U2 , Johnson Creek , United States 
 RKD , Knox County Regional Airport , United States 
