RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,passenger_seats,AirportCode
 N515AB , Airplane , Lee Kolb , Mark III Classic , No ,1, Reciprocating ,263, RYN 
N9069U,Airplane, Beech , 95-55 , No ,2,Reciprocating,256,ZFI
 N182HG , Airplane , Cessna , 182Q , No ,1, Reciprocating ,318, KTOA 
N0741V,Airplane, Cessna , 172M , No ,2,Reciprocating,272,GAK
N2480D,Airplane, Boeing Vertol , BV-107 II , No ,2,Reciprocating,160,VUE
N8284C,Airplane, Bell ,206, No ,2,Reciprocating,175,ULQ
 N9664D , Airplane , Piper , PA22-150 , No ,1, Reciprocating ,163,GIW
 N1959P , Airplane , Piper , PA-24-250 , No ,1, Reciprocating ,284,MZV
 N26XL ,Airplane, Schleicher , ASH 26 E , No ,1, Reciprocating ,299,JJE
 N828MC , Airplane , Piper , PA28A , No ,1, Reciprocating ,393, KLBB 
 N319CD , Helicopter , Robinson , R44 , No ,1, Reciprocating ,180, FMH 
 N442ER , Airplane , Cessna , 172S , No ,1, Reciprocating ,276, KDAB 
 N83785 ,Airplane, Piper , PA-28-161 , No ,1, Reciprocating ,214,JZG
 N204WC , Airplane , Craig , Sonerai II LT , Yes ,1, Reciprocating ,253, DWU 
 N41094 ,Airplane, LO-N-SLO Airsports Inc. , Maxair Drifter XP-50 , Yes ,1, Reciprocating ,285,BDR
 N861MP , Helicopter , Robinson , Beta II , No ,1, Reciprocating ,366, LZU 
 N266Q ,Airplane, Enstrom , F-28A , No ,1, Reciprocating ,270,ATK
 N51732 , Airplane , Cessna , 182T , No ,1, Reciprocating ,273, UNKN 
 N4066X , Balloon , Cameron Balloons , O-90 , No ,0,Reciprocating,329,SRP
 N317AS , Airplane , Boeing , 737-900 , No ,2,Reciprocating,318,XJZ
 N8176B ,Airplane, Robinson , R-22 Beta , No ,1, Reciprocating ,310, DYL 
 N62078 , Airplane , Colson/Goodbread , Rans S-12 , Yes ,1, Reciprocating ,164, 3DA 
 N1567C , Helicopter , Schweizer , 269C-1 , No ,1, Reciprocating ,359, KTIX 
 N165WM ,Airplane, McClintock , Glasair SH-2 , Yes ,1, Unknown ,203, PHN 
 N30AS , Glider , Dirks Glaser , DG-300 , No ,0,Reciprocating,321, L71 
 N1711Q , Airplane , Swing Brian S , Quickie Q2 , Yes ,1, Reciprocating ,153, 73J 
 N3029Z , Airplane , Piper , PA-22-160 , No ,1, Reciprocating ,200, BBP 
 N120V , Airplane , Beech , M35 , No ,1, Reciprocating ,341, PSF 
 N49005 , Airplane , Cessna ,152, No ,1, Reciprocating ,385, KTIX 
 N15127 , Airplane , Stinson , SR-6A , No ,1, Reciprocating ,238, GYL 
 N2876J , Airplane , Cessna , T188C , No ,1, Reciprocating ,223, BTY 
 N950AL , Helicopter , Agusta , A109E , No ,2, Turbo Shaft ,216,LMJ
 N8154H , Airplane , Piper , PA-44-180 , No ,2, Reciprocating ,387, PRC 
 N85534 , Airplane , Aeronca , 7AC , No ,1, Reciprocating ,168,PCM
 N20KK , Airplane , Cessna ,180, No ,1, Reciprocating ,288, D25 
 CF-JVT , Airplane , Piper , PA-12 , No ,1, Reciprocating ,346, BRD 
 N39216 ,Airplane, Taylorcraft , BC12-D , No ,1, Reciprocating ,365, PVT 
 N4055Z ,Airplane, Piper , PA-18-150 , No ,1, Reciprocating ,308,NRP
 N391CA ,Airplane," Bombardier, Inc. ", CL-600-2C10 , No ,2, Turbo Fan ,289, CVG 
 N59051 , Airplane , Cessna , 210L , No ,1, Reciprocating ,155, KBTR 
 N888DV , Airplane , Learjet , 25D , No ,2, Turbo Jet ,266, MCC 
 N5065N , Airplane , Bellanca , 7ECA , No ,1, Reciprocating ,260,JHY
 N1263Y ,Airplane, Cessna , 208B , No ,1, Turbo Prop ,180,MKN
N0529G,Airplane, Cessna , 172N , No ,2,Reciprocating,354,KFF
 N7345U ,Airplane, Cessna ,411, No ,2, Reciprocating ,201, HTO 
 N3308S , Airplane , Cessna ,185, No ,1, Reciprocating ,330,NOH
 N3331F , Airplane , Cessna , 182J , No ,1, Reciprocating ,387, T94 
 N6832A , Airplane , Cessna ,172, No ,1, Reciprocating ,316, 5NK 
 N941SL , Helicopter , Bell , B206 L-3 , No ,1, Turbo Shaft ,392, AE49 
 N909BC , Helicopter , Hiller , UH-12E , No ,1, Reciprocating ,230, KEFD 
 N555YF , Airplane , Vans Aircraft , RV7A , Yes ,1, Reciprocating ,312, 7TA7 
 N686JM , Airplane , Michael Moneyhan , Magnum , Yes ,1, Reciprocating ,388,ZKJ
 N101HK ,Airplane, Lancair , LC-40-550FG , No ,1, Reciprocating ,158,XMH
 N22532 ,Airplane, Nord ,3202, No ,1, Reciprocating ,244, CGZ 
 N296PC , Airplane , Chamberlain , Vans RV6 , Yes ,1, Reciprocating ,371,VBU
 N378DA ,Airplane, Boeing , 737-832 , No ,2, Turbo Fan ,394,HZH
N0934Y,Airplane, Air Tractor , AT-602 , No ,2,Reciprocating,386,THC
N9019J,Airplane, Piper , PA-38-112 , No ,2,Reciprocating,176,VQP
N7552M,Airplane, Boeing , 737-200 , No ,2,Reciprocating,173,UIU
 N679MG , Airplane , Boeing , 727-225 , No ,3, Turbo Fan ,347, SAT 
 N402CA ,Airplane, Cessna , 402B , No ,2, Reciprocating ,272, SZT 
 N2536W , Airplane , Beechcraft , BE-24R , No ,1, Reciprocating ,399, NY05 
 N46475 , Airplane , Cessna , 172K , No ,1, Reciprocating ,255, 4N1 
 N1693Q , Airplane , Cessna , 150L , No ,1, Reciprocating ,359, VT8 
 N6QR ,Airplane, Aviat , A-1 , No ,1, Reciprocating ,272,OCQ
 N6000A ,Airplane, Cessna ,172, No ,1, Reciprocating ,319, S45 
 N7377H , Airplane , Cessna , A185F , No ,1, Reciprocating ,303,BBR
N7779G,Airplane, Cessna ,210, No ,2,Reciprocating,331,NSA
 N9234V , Airplane , Piper , PA-28-161 , No ,1, Reciprocating ,352, KVRB 
 N3610Y , Airplane , Cessna , 210C , No ,1, Reciprocating ,192, IKK 
 N564BR , Airplane , Hawker Siddeley , 125-700 , No ,2, Turbo Fan ,336, HOU 
 N5HU ,Airplane, Cessna , P337H , No ,2, Reciprocating ,284,TXX
 N268ST ,Airplane, Hughes , 369D , No ,1, Turbo Shaft ,229,RLN
 N722W , Airplane , Weber , Glastar , Yes ,1, Reciprocating ,295,JXE
 N4252P , Airplane , Piper , PA-23-160 , No ,1, Reciprocating ,169, CCB 
 N978FE ,Airplane, Cessna ,208, No ,1, Turbo Prop ,359,PKY
 N2621U , Airplane , Cessna , 172R , No ,1, Reciprocating ,210, X47 
 N39FS ,Airplane, North American , T-39A , No ,2, Turbo Jet ,248, MHV 
 N244PS ,Airplane," Bombardier, Inc. ", CL-600-2B19 , No ,2, Turbo Jet ,258,LRG
 N285JB ,Airplane, Lancair , LC-41-550FG , No ,1, Reciprocating ,185, KSEE 
 N53795 , Airplane , Cessna , 172P , No ,1, Reciprocating ,294, 37TE 
 N9222H ,Airplane, Cessna ,185, No ,1, Reciprocating ,340,YPN
 N144ZV ,Airplane, Beech , 1900D , No ,2, Turbo Prop ,300, OGS 
 N99173 ,Airplane, Cessna , 172P , No ,1, Reciprocating ,236, X14 
 N300HX ,Airplane, Elan/Glaser Dirks , DG-300 , No ,0,Reciprocating,309, 3M5 
 N72901 ,Airplane, Cessna ,140, No ,1, Reciprocating ,305,JEJ
N8428V,Airplane, Cessna , U206P , No ,2,Reciprocating,361,WLY
 N152SG , Airplane , Cessna ,152, No ,1, Reciprocating ,154,LMF
 N3588F , Airplane , Cessna , 182J , No ,1, Reciprocating ,272, KPGD 
 N23887 ,Airplane, Piper , PA-38-112 , No ,1, Reciprocating ,352, 2S6 
 N2698Z ,Airplane, Bellanca , 7GCBC , No ,1, Reciprocating ,200,PKG
 N5158N ,Airplane, Boeing , B75N1 , No ,1, Reciprocating ,365,EKK
 N494S ,Airplane, North American , AT-6D , No ,1, Reciprocating ,169,VNS
 N5FN ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,325,SCK
 N212KR ,Airplane, Steven W. Jones , KR2 , Yes ,1, Reciprocating ,267,GLN
 N2728B , Airplane , Cessna , 182B , No ,1, Reciprocating ,157, NONE 
 N221MH , Airplane , Harmel , RV6A , Yes ,1, Reciprocating ,157, OKB 
 N3428R , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,179,SNC
N1597Q,Airplane, Cessna , 208B , No ,2,Reciprocating,387,IMN
 N381SL , Glider ,1200, G103 , No ,0,Reciprocating,164,KUE
 N5227X , Airplane , Cessna , U206G , No ,1, Reciprocating ,260,EPA
 N7196J ,Airplane, Robinson Helicopter Company , R-22 Beta II , No ,1, Reciprocating ,394,GOD
 N58267 ,Airplane, Hughes , 369D , No ,1, Turbo Shaft ,281, OGG 
 N235U ,Airplane, Plavcan , Lancair 235 , Yes ,1, Reciprocating ,280, --- 
 N7768G ,Airplane, Cessna , 172L , No ,1, Reciprocating ,236, --- 
 N239PT ,Airplane, Crisenbery , Northman 2+2 , Yes ,1, Reciprocating ,217,IMT
 N9202U , Airplane , Cessna , 150M , No ,1, Reciprocating ,260, MRN 
 None , Airplane , North Wing , Apache ST Trike , No ,1, Reciprocating ,280, NONE 
 N8684S ,Airplane, Cessna , 150F , No ,1, Reciprocating ,247,HGK
 N310SK , Airplane , Cessna , 310R , No ,1, Reciprocating ,263,AUL
 N755SA ,Airplane, Boeing , 737-7H4 , No ,2, Turbo Fan ,159, PHX 
 N624SW ,Airplane, Boeing , 737-3H4 , No ,2, Turbo Fan ,309, PHX 
 N94JA , Airplane , Cessna ,172, No ,1, Reciprocating ,268, DWH 
 N273PS , Airplane , Beech , F33A , No ,1, Reciprocating ,152, 2M8 
 N8875D ,Airplane, Piper , PA-22-150 , No ,1, Reciprocating ,304, IXD 
 N51772 , Helicopter , Enstrom , F-28C , No ,1, Reciprocating ,378,MKX
 N835RA , Airplane , APPEL , RDA 04 , Yes ,1, Reciprocating ,301, CVN 
 N14715 , Airplane , Bellanca , 17-30A , No ,1, Reciprocating ,327, RIR 
 N76UT , Helicopter , Sikorsky , S-76B , No ,2, Turbo Shaft ,213,IRN
 N927FR ,Airplane, Airbus Industries , A319-111 , No ,2, Turbo Fan ,393, DEN 
 N943D ,Airplane, American Champion (ACAC) , 8KCAB , No ,1, Reciprocating ,296, OVE 
 N701PR , Airplane , DallMeyer , Zenith CH-701 , Yes ,1, Reciprocating ,237,UCG
 N13585 , Airplane , Cessna , 172M , No ,1, Reciprocating ,292,HTW
 N5083T ,Airplane, Beech , 19A , No ,1, Reciprocating ,256, JXN 
 N4447Z , Airplane , Cessna ,206, No ,1, Reciprocating ,171,FBN
 N6085R ,Airplane, Cessna , 172RG , No ,1, Reciprocating ,363,XIL
 N5947D , Airplane , Piper , PA-22 , No ,1, Reciprocating ,336,PQL
 N6413S ,Airplane, Beech , 95-B55 , No ,2, Reciprocating ,298,BGU
 N175DP ,Airplane, Cessna , Citation 650 ,No,2, Turbo Fan ,389,GNK
 N4994V ,Airplane, Grumman , F6F , No ,1, Reciprocating ,381,MBF
 N3635U ,Airplane, Aerostar , S57-A , No ,0, Unknown ,294, ABQ 
 N84580 ,Airplane, Aeronca , 7AC , No ,1, Reciprocating ,272,RVW
 N8069J , Airplane , Williams , Challenger II , Yes ,1, Reciprocating ,241, KGEG 
 N5161Y , Balloon , Aerostar , RX-8 , No ,0,Reciprocating,312,XHT
 N1163A , Airplane , Mooney , M20K , No ,1, Reciprocating ,245, ITH 
 N4647D ,Airplane, Beech , G35 , No ,1, Reciprocating ,312,EJJ
 N55910 ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,363,WEG
 N97CM ,Airplane, Beech , A36 , No ,1, Reciprocating ,277, PBX 
 N211LB , Balloon , Lindstrand Balloons , 210S , No ,0,Reciprocating,280, ABQ 
 N7YL , Helicopter , Augusta , 109E , No ,2, Turbo Shaft ,284, BFD 
 N149KC , Airplane , Creed , RV-4 , Yes ,1, Reciprocating ,208,SHZ
N5612S,Airplane, Robinson , R-22 Beta , No ,2,Reciprocating,358,SGJ
 N792 ,Airplane, Aviat , A-1B , No ,1, Reciprocating ,309,BLR
 N6560K ,Airplane, Bell , 206-L3 , No ,1, Turbo Shaft ,384, LFT 
 N206DB , Helicopter , Bell , 206L-4 , No ,1, Turbo Shaft ,312,XHP
N4563Q,Airplane, Cessna , 208B , No ,2,Reciprocating,171,YMH
 N9738L , Airplane , Beech , C23 , No ,1, Reciprocating ,276,MNS
 N40120 , Airplane , Harms , KitFox Series 5 , Yes ,1, Reciprocating ,200, T41 
 N4UT , Airplane , Beech ,58, No ,2, Reciprocating ,159, KCRG 
 N94684 , Airplane , Cessna ,152, No ,1, Reciprocating ,239, KTUP 
 N32476 , Airplane , Culver , LCA , No ,1, Reciprocating ,267,HMK
 N9085Q ,Airplane, Beechcraft , V35B , No ,1, Reciprocating ,294,GGV
 N9696K , Airplane , Pyramid , Aventura II , Yes ,1, Reciprocating ,338,WLK
N3166C,Airplane, Hughes , 369D , No ,2,Reciprocating,225,FPR
N4862C,Airplane, Piper , PA28-181 , No ,2,Reciprocating,334,TOP
 N6922T , Airplane , Piper , PA-28-181 , No ,1, Reciprocating ,247, PYG 
 N2106D , Airplane , Beech , D35 , No ,1, Reciprocating ,269, 77S 
 N31MH , Helicopter , Aerospatiale , AS350B , No ,1, Turbo Shaft ,170, GCN 
 N926SH , Helicopter , Robinson Helicopter Company , R22 Beta , No ,1, Reciprocating ,395, TUS 
 N650RW ,Airplane, Embraer ,170, No ,2, Turbo Jet ,333, IAD 
 N7895J ,Airplane, Pilatus , PC-6/B2-H2 , No ,1, Turbo Prop ,287, KDED 
 N9199P ,Airplane, Piper , PA-46-350P , No ,1, Reciprocating ,319, KDTS 
 N72BG , Airplane , Beech , E-55 , No ,2, Reciprocating ,253, PVD 
 N9950X ,Airplane, Cessna ,185, No ,1, Reciprocating ,333,LKE
 N89B , Airplane , Waco , YMF , No ,1, Reciprocating ,243, 06NH 
 N952AC , Airplane , Cessna , 172N , No ,1, Reciprocating ,376, KPGD 
 N201SC , Helicopter , Bell , 206B , No ,1, Turbo Shaft ,151,WXA
 N96YD ,Airplane, Abruzzo , Grom-1 , Yes ,0,Reciprocating,277, ULS 
N9843A,Airplane, Eurocopter Deutschland , BO-105 , No ,2,Reciprocating,358,NDW
 N9880A , Airplane , Cessna ,195, No ,1, Reciprocating ,327, ADS 
 N5606S , Airplane , Beech , D-95A , No ,1, Reciprocating ,366,MNF
 N4175U , Airplane , Cessna , 150D , No ,1, Reciprocating ,314, 21W 
 N924GF ,Airplane, Beech , B-60 , No ,2, Reciprocating ,255, AWO 
 N5394K , Airplane , Cessna , 172P , No ,1, Reciprocating ,154, RNO 
 N77ND ,Airplane, Cessna ,550, No ,2, Turbo Fan ,397,UNM
 N62610 ,Airplane, Howard Whyte , Nieuport 28 , Yes ,1, Reciprocating ,206, FFO 
 N3569Y , Airplane , Cessna ,182, No ,1, Reciprocating ,370,HYH
 N176RD ,Airplane, North American , T-28C , No ,1, Reciprocating ,394,GBO
 N113AW ,Airplane, Bellanca , 7GCBC , No ,1, Reciprocating ,395, 2V2 
 N45339 ,Airplane, Cessna , 150M , No ,1, Reciprocating ,175, M11 
 N4747G ,Airplane, Stits Playboy , SA3B Lightning , Yes ,1, Reciprocating ,231, IBM 
N4882H,Airplane, Cessna ,182, No ,2,Reciprocating,379,JSU
 N8513U , Airplane , Cessna , C172F , No ,1, Reciprocating ,344,VHF
 N655GS ,Airplane, Agusta , A109A II , No ,2, Turbo Shaft ,251,TCK
 N5343U , Airplane , Cessna , 172S , No ,1, Reciprocating ,211,KIK
 N1238Q ,Airplane, Cessna ,150, No ,1, Reciprocating ,381,QJI
 N1938E , Airplane , Aeronca , 7AC , No ,1, Reciprocating ,287,GBT
 N206FB , Airplane , Cessna ,206, No ,1, Reciprocating ,367,XZD
 N45SE ,Airplane, Cessna , P210N , No ,1, Turbo Prop ,257, 12ID 
 N1012H , Airplane , Maule , MT-7-235 , No ,1, Reciprocating ,271,CHJ
 N656T ,Airplane, Rose , Kitfox , Yes ,1, Reciprocating ,380, L26 
N9893P,Airplane, Piper , PA-36-375 , No ,2,Reciprocating,185,JIA
N1366R,Airplane, Hughes , 269C , No ,2,Reciprocating,163,DOZ
 N206WK , Airplane , Cessna , T206H , No ,1, Reciprocating ,235,UVZ
 N3140U ,Airplane, Bell , UH-1H , No ,1, Turbo Shaft ,304,GTJ
 N699QS ,Airplane, Cessna , 560XL , No ,2, Turbo Fan ,293, CMH 
 N8548Q ,Airplane, Cessna , A185F , No ,1, Reciprocating ,316, TCY 
 N5031T ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,389,DEC
 N33964 , Glider , Schweizer , SGS-2-33A , No ,0,Reciprocating,183,PMJ
 N993FL , Airplane , Vans Aircraft , RV-3 , Yes ,1, Reciprocating ,271,HRF
 N7788Z , Airplane , Piper , PA-25-235 , No ,1, Reciprocating ,344, KOPF 
 N5203N , Airplane , Cessna ,182, No ,1, Reciprocating ,227, NONE 
 N5207C , Helicopter , McDonnell Douglas , 369E , No ,1, Turbo Shaft ,392, MFR 
N0526Y,Airplane, Beech , A36 , No ,2,Reciprocating,212,FAX
 NONE ,Airplane, Air Creation , Clipper 912 , Yes ,1, Reciprocating ,165,VVB
 N4024P , Balloon , Lindstrand Balloons , 77A , No ,0,Reciprocating,181,JJY
 N9158U ,Airplane, Robinson , R44 , No ,1, Reciprocating ,397,KPJ
 N355NT , Helicopter , AEROSPATIALE , AS350BA , No ,1, Turbo Shaft ,395,TEU
 N8014T , Airplane , Beech , BE-36 , No ,1, Reciprocating ,270,QUS
 N5756Y ,Airplane, Piper , PA-18-150 , No ,1, Reciprocating ,355, O89 
 N39MK , Helicopter , Bell , 206B3 , No ,1, Turbo Jet ,367,USL
 N94263 , Airplane , Cessna , T210L , No ,1, Reciprocating ,164,HII
 N99137 , Airplane , Cessna , 172P , No ,1, Reciprocating ,290, W00 
 N117MK ,Airplane, Eurocopter Deutschland , BK-117-B2 , No ,2, Turbo Shaft ,206, OSU 
 N181FL ,Airplane, Convair Div. of Gen. Dynamics ,440, No ,2, Turbo Prop ,226, ENW 
 N103RC ,Airplane, Mitsubishi , MU-2B-36 , No ,2, Turbo Prop ,173, AWN 
 N7WS , Airplane , Piper , PA-46T , No ,1, Turbo Prop ,290, KRQO 
 N82001 , Helicopter , Robinson , R22 Beta , No ,1, Reciprocating ,232, MUE 
 N63PA ,Airplane, Diamond Aircraft Industries , DA20-C1 , No ,1, Reciprocating ,291,GUT
 N9527A ,Airplane, Cessna , 170A , No ,1, Reciprocating ,351,AXS
 N702WP ,Airplane, Bell ,407, No ,1, Turbo Shaft ,221, KIYK 
 N3882N ,Airplane, Thomas , RV4 , Yes ,1, Reciprocating ,259, L05 
 N814CE ,Airplane, Eurocopter , AS350B3 , No ,1, Turbo Shaft ,271,OQS
 N4384C ,Airplane, Champion , 7EC , No ,1, Reciprocating ,263,FWF
 N536JB , Airplane , Airbus Industrie , A320 , No ,2, Turbo Jet ,263, KLAX 
 N748BP , Helicopter , Robinson , R44 , No ,1, Reciprocating ,322,ZXN
 N1037V , Airplane , Cessna , 180H , No ,1, Reciprocating ,197, NONE 
N1513M,Airplane, Bell , 412EP , No ,2,Reciprocating,310,ACZ
 N909KF , Airplane ," Smith, Ted Aerostar ", 601P , No ,2, Reciprocating ,399, LXY 
 N141HA , Helicopter , Hiller , UH 12-E , No ,1, Reciprocating ,384,LII
N5538B,Airplane, Robinson , R-22 Mariner , No ,2,Reciprocating,179,KBR
 N172GW , Airplane , Cessna , 172S , No ,1, Reciprocating ,350, CDC 
 N95006 , Airplane , Taylorcraft , BC12-D , No ,1, Reciprocating ,255,FUJ
 N6266W , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,273, 1Y3 
 N6494J ,Airplane, Piper , PA-28-180 , No ,1, Reciprocating ,321, MIV 
 N957SH ,Airplane, Robinson Helicopter , R22 Beta , No ,1, Reciprocating ,306,ADT
 N212TC ,Airplane, North American , SNJ-5 , No ,1, Reciprocating ,324, TOR 
 N91597 ,Airplane, North American , Navion A , No ,1, Reciprocating ,194,YGK
 N5757D ,Airplane, Beech , 35-C33 , No ,1, Reciprocating ,363, P04 
 NONE ,Airplane, Hart , NONE , Yes ,1,Reciprocating,266, NONE 
 N8495K , Airplane , Stinson , 108-1 , No ,1, Reciprocating ,330, Y14 
 N559JC , Airplane , Clark , Vans RV8 , Yes ,1, Reciprocating ,349, K0Q9 
 N64763 , Airplane , Cessna , 172P , No ,1, Reciprocating ,320, CDW 
 N4416N , Gyrocraft , Eiland , RAF-200 Gyro , Yes ,1, Reciprocating ,259, S07 
 N121CW , Airplane , Cessna , 172S , No ,1, Reciprocating ,330, SOW 
 N5467C , Airplane , Cessna , 182S , No ,1, Reciprocating ,243,OKO
 N49189 ,Airplane, Cessna ,152, No ,1, Reciprocating ,162, OLM 
 N734K , Glider , Schleicher , ASW-20B , No ,0, Unknown ,337, 0E0 
 N9311P ,Airplane, Piper , PA-24-260 , No ,1, Reciprocating ,251, 16G 
 N300NW ,Airplane, Akro Tech Aviation Inc. Giles , G-300 , No ,1, Reciprocating ,242, F29 
 N985JS ,Airplane, Shea , Vans RV6A , Yes ,1, Reciprocating ,295, 76V 
 N583NK ,Airplane, Airbus , A321-231 , No ,2, Turbo Fan ,347, FLL 
 Unregistere ,Airplane, Brown , Hi-MAX 1700R , Yes ,1, Reciprocating ,179, 3V4 
 N69146 ,Airplane, Piper , PA-46-310P , No ,1, Reciprocating ,151, EFD 
 N8103X , Airplane , Piper , PA 28-181 , No ,1, Reciprocating ,371, O96 
 N8225F , Airplane , Beech , F33A , No ,1, Reciprocating ,194,SHW
 N8063T , Airplane , Piper , PA-32-301 , No ,1, Reciprocating ,219, RNO 
 N124SM , Airplane , Cessna ,172, No ,1, Reciprocating ,168,XVV
 N287RR , Airplane , Piper , PA-34-200 , No ,2, Reciprocating ,340, KPRN 
 N2873E , Airplane , Aeronca , 7AC , No ,1, Reciprocating ,363,MHD
N8651I,Airplane, Robinson , R44 , No ,2,Reciprocating,349,WJQ
N2660R,Airplane, Cessna ,525, No ,2,Reciprocating,275,ZRS
 N1814Y ,Airplane, Cessna , 172C , No ,1, Reciprocating ,393, 72FL 
 N197D ,Airplane, Denight , 100D2 , Yes ,1, Reciprocating ,205, 48V 
N8722L,Airplane, Cessna ,207, No ,2,Reciprocating,218,OGK
 N35552 ,Airplane, Cessna , 177RG , No ,1, Reciprocating ,388,QJB
 N8285T ,Airplane, Cessna , 175B , No ,1, Reciprocating ,167,JAT
 N8483E , Helicopter , Bell , 47G-3B , No ,1, Turbo Shaft ,285,JVG
 N2995W , Helicopter , Bell , 206B , No ,1, Turbo Shaft ,283,TRK
 N392PT , Airplane , Cessna , 180A , No ,1, Reciprocating ,344,RNE
 N127F , Airplane , Beech , 95-B55 , No ,2, Reciprocating ,348, PTV 
 N58717 ,Airplane, Cessna , 182P , No ,1, Reciprocating ,195, 3U2 
 N701DF ,Airplane, Raytheon , BE-390 , No ,2, Turbo Fan ,304, RKD 
 N6667Q , Airplane , Grumman , G-164B , No ,1, Turbo Prop ,186,PYH
 N2401T , Airplane , Ryan , Navion G , No ,1, Reciprocating ,326, WI89 
 N19998 , Airplane , Cessna , 172M , No ,1, Reciprocating ,272, 2TX0 
 N9640G , Airplane , Cessna , A188B , No ,1, Reciprocating ,328, PRX 
 N4807 ,Airplane, Cessna , A185F , No ,1, Reciprocating ,229, 1V5 
 N9954U ,Airplane, Grumman American , AA-5A , No ,1, Reciprocating ,224,JSZ
 N901NS ,Airplane, Cessna , 172M , No ,1, Reciprocating ,170,LFY
 N24SD ,Airplane, Bell , 47G-3B-1 , No ,1, Reciprocating ,394,UNZ
 N513JG , Airplane , Cessna , 172-S , No ,1, Reciprocating ,195, KTMB 
 N46289 , Airplane , Bradford Haines , Glastar , Yes ,1, Reciprocating ,367, U77 
 N7761D , Airplane , Piper , PA-18 , No ,1, Reciprocating ,312,QVG
 N14CS ,Airplane, Sikorsky , S-76B , No ,2, Turbo Shaft ,154, LDJ 
 N42619 , Airplane , Maule , MT-7-260 , No ,1, Reciprocating ,218, 13IN 
 N627RK , Airplane , Maule , MT7-235 , No ,1, Reciprocating ,219,VRZ
 N852PG , Airplane , Gleason , Sky Star Kitfox , Yes ,1, Reciprocating ,315, LMT 
 N747AW ,Airplane, Piper , PA-46-500TP , No ,1, Turbo Prop ,219,OPC
 N36237 ,Airplane, Bellanca , 7GCBC , No ,1, Reciprocating ,166,ROY
 N6565L ,Airplane, Cessna ,152, No ,1, Reciprocating ,357, LGB 
 N58316 , Airplane , Cessna , 185F , No ,1, Reciprocating ,283, PAPR 
 N1755P , Airplane , Piper , PA-18 , No ,1, Reciprocating ,309,JNC
 N282SL , Gyrocraft , Ricardo Lopez , RAF 2000 GTXSE , Yes ,1, Reciprocating ,281, E25 
 N7QR , Airplane , Aviat , A-1B , No ,1, Reciprocating ,185,YGQ
 N70365 ,Airplane, Cessna , A185F , No ,1, Reciprocating ,286,LAK
 N9138W , Airplane , Lamont , Aventura II , Yes ,1, Reciprocating ,333,FYR
 N349MC , Airplane , Israel Aircraft Industries ,1124, No ,2, Turbo Fan ,327,EFS
 N54BX , Airplane , Keith , Avid Amphibian , Yes ,1, Reciprocating ,274,WCV
 N2054T , Glider , Schweizer , SGS2-33A , No ,0,Reciprocating,156, P48 
 N8153N , Airplane , Piper ,28, No ,1, Reciprocating ,388, 79J 
N3702U, Airplane , Beech , BE-1900D ,No,2,Reciprocating,227,MWA
 N1251C , Airplane , CESSNA , 182T , No ,1, Reciprocating ,351, ILM 
 N862Z , Helicopter , Bell , 47G , No ,1, Reciprocating ,157,QIH
 N4032R ,Airplane, Piper , PA-32-300 , No ,1, Reciprocating ,355, IWH 
 N6777W ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,271, 2B1 
 N9254T ,Airplane, Cessna , 180C , No ,1, Reciprocating ,354,ACT
 N1592F ,Airplane, Cessna , 185E , No ,1, Reciprocating ,295,RVJ
 N944U , Helicopter , Robinson , R44 II , No ,1, Reciprocating ,342,SBQ
 N391TM , Airplane , Piper , PA-28R-201T , No ,1, Reciprocating ,392,106
 N9120Q , Airplane , Dixon , RV-4 , Yes ,1, Reciprocating ,162,MAQ
 N68440 , Airplane , Cessna ,152, No ,1, Reciprocating ,160,IPI
 N207GR , Airplane , Cessna , T207A , No ,1, Reciprocating ,251,ACH
 N75SM , Airplane , Cessna , 310Q , No ,2, Reciprocating ,244,WTJ
 N8523W ,Airplane, Piper , PA-28-235 , No ,1, Reciprocating ,176, 3FU 
 N8348T , Helicopter , Robinson , R22 , No ,1, Reciprocating ,193, KVNY 
 N3162W ,Airplane, Beech , BE-58 , No ,2, Reciprocating ,263,UAE
 N3617F ,Airplane, North American , AT-6D , No ,1, Reciprocating ,356, CLS 
 N9636B ,Airplane, Cessna , 172RG , No ,1, Reciprocating ,400, AVX 
 N219DF ,Airplane, Hildebrant , Rutan Defiant , Yes ,2, Reciprocating ,168, 1I3 
 N230CA ,Airplane, Bell , 206B , No ,1, Turbo Shaft ,221,UGS
N3604L, Helicopter , ROBINSON , R44 , No ,1, Reciprocating ,319, GWY 
 N52551 , Airplane , Boeing , A75N1 , No ,1, Reciprocating ,304,DPV
 N291ND , Airplane , Piper , PA-44-180 , No ,2, Reciprocating ,333, D14 
 N477DK , Airplane , Aviat , A-1B , No ,1, Reciprocating ,160, SHR 
N6290G,Airplane, Cessna ,152, No ,2,Reciprocating,275,UAW
 N199BM , Airplane , deHavilland , DHC-2 , No ,1, Reciprocating ,225,DKI
